ID_школы;Название_школы;Город;Регион;Ссылка_на_страницу
99669e56-9749-43ff-981d-b2390d913209;МБОУ Гимназия №16;г. Мытищи;;https://uchi.ru/schools/pages/99669e56-9749-43ff-981d-b2390d913209
821f567a-9bb2-44c5-9392-4c5f639e8711;МБОУ Гимназия №6 г. Ивантеевка городского округа Пушкинский;г. Ивантеевка;;https://uchi.ru/schools/pages/821f567a-9bb2-44c5-9392-4c5f639e8711
de4504a0-8ed4-4707-8075-c083841328f6;МБОУ Лесногородская СОШ;г. Лесной Городок;;https://uchi.ru/schools/pages/de4504a0-8ed4-4707-8075-c083841328f6
e8acb7e6-6e9a-45ff-b76e-71f0fab44d70;МАОУ Апрелевская СОШ №1;г. Апрелевка;;https://uchi.ru/schools/pages/e8acb7e6-6e9a-45ff-b76e-71f0fab44d70
2f0cd9b4-fea3-47f6-82e8-1ae650cb924b;МОУ Лицей №26 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/2f0cd9b4-fea3-47f6-82e8-1ae650cb924b
f482e41d-8888-4f36-833e-280e6f6a09c9;МБОУ городского округа Королёв Московской области Лицей №5;г. Королев;;https://uchi.ru/schools/pages/f482e41d-8888-4f36-833e-280e6f6a09c9
07d81272-5af3-47a7-83ff-046f9a410a86;МАОУ Домодедовская СОШ №7 с углубленным изучением отдельных предметов;г. Домодедово;;https://uchi.ru/schools/pages/07d81272-5af3-47a7-83ff-046f9a410a86
c44cc805-fb3f-406d-8d0d-e18de18a4068;МОУ СОШ № 3 с углубленным изучением отдельных предметов г. Егорьевска;г. Егорьевск;;https://uchi.ru/schools/pages/c44cc805-fb3f-406d-8d0d-e18de18a4068
e52311ae-2c7f-4d38-ad9d-b28e84c9a5dd;МБОУ Котельниковская СОШ № 1 им. Героя Советского Союза Л. Д. Чурилова городского округа Котельники Московской области;г. Котельники;;https://uchi.ru/schools/pages/e52311ae-2c7f-4d38-ad9d-b28e84c9a5dd
d08bad43-a43e-49f7-994f-94e713bc57db;МОУ Лицей г. Истра;г. Истра;;https://uchi.ru/schools/pages/d08bad43-a43e-49f7-994f-94e713bc57db
255bfc3b-bc1b-414a-85be-3544870563f8;МБОУ городского округа Балашиха СОШ №22;г. Балашиха;;https://uchi.ru/schools/pages/255bfc3b-bc1b-414a-85be-3544870563f8
55eaf04a-0266-43ce-815f-bf4c915ef433;МОУ Раменская СОШ №8;г. Раменское;;https://uchi.ru/schools/pages/55eaf04a-0266-43ce-815f-bf4c915ef433
571d8c2f-328b-4afc-8918-0c8cb42a0251;МОУ Гимназия №4;г. Лыткарино;;https://uchi.ru/schools/pages/571d8c2f-328b-4afc-8918-0c8cb42a0251
6b86f92b-abd4-425c-9562-27ac844e70b5;МБОУ Тридцать первая школа г. Химки;г. Химки;;https://uchi.ru/schools/pages/6b86f92b-abd4-425c-9562-27ac844e70b5
d60d504f-4fdd-403d-8e49-d7ef3c61670b;МБОУ СОШ Мозаика;г. Путилково;;https://uchi.ru/schools/pages/d60d504f-4fdd-403d-8e49-d7ef3c61670b
25ec267c-87dd-4ec8-8584-51704ef444a8;МБОУ СОШ №4;г. Сергиев Посад;;https://uchi.ru/schools/pages/25ec267c-87dd-4ec8-8584-51704ef444a8
888b520a-cf4b-4aab-a511-a6e5e86093af;МОУ СОШ №34 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/888b520a-cf4b-4aab-a511-a6e5e86093af
4ca27097-b237-44aa-8c81-7c5da07abb6b;МБОУ городского округа Королев Московской области Гимназия № 3 им. Л. П. Данилиной;г. Королев;;https://uchi.ru/schools/pages/4ca27097-b237-44aa-8c81-7c5da07abb6b
58547867-2467-4761-8042-9800d65a3afb;МОУ Раменская СОШ №6;г. Раменское;;https://uchi.ru/schools/pages/58547867-2467-4761-8042-9800d65a3afb
0be1d6f3-0635-4f62-b3b8-c97d222ab761;МОУ Раменская СОШ №9;г. Раменское;;https://uchi.ru/schools/pages/0be1d6f3-0635-4f62-b3b8-c97d222ab761
bc6fd0d6-7f99-4a70-badc-781b579d6995;МБОУ Лицей г. Шатуры Городского округа Шатура;г. Шатура;;https://uchi.ru/schools/pages/bc6fd0d6-7f99-4a70-badc-781b579d6995
0144bd18-a484-484c-a0b3-f34c61ea5172;МАОУ Бутовская СОШ №2;г. Дрожжино;;https://uchi.ru/schools/pages/0144bd18-a484-484c-a0b3-f34c61ea5172
cacba493-c28f-485a-8920-20559d305e5f;МБОУ Одинцовская гимназия №14;г. Одинцово;;https://uchi.ru/schools/pages/cacba493-c28f-485a-8920-20559d305e5f
24c79794-651d-428a-ab54-e4e62058306c;МАОУ Свердловская СОШ №2 городского округа Лосино-Петровский;г. Свердловский;;https://uchi.ru/schools/pages/24c79794-651d-428a-ab54-e4e62058306c
123099f3-c729-4028-9b6d-bf014c847dca;МАОУ СОШ №10 г. Реутова;г. Реутов;;https://uchi.ru/schools/pages/123099f3-c729-4028-9b6d-bf014c847dca
309d5370-2209-4dc0-bb5c-ad21ee071a2e;МБОУ Центр образования № 33;г. Электроугли;;https://uchi.ru/schools/pages/309d5370-2209-4dc0-bb5c-ad21ee071a2e
2b80c254-8111-4625-8601-8e9cf3db66eb;МБОУ СОШ № 30 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/2b80c254-8111-4625-8601-8e9cf3db66eb
17a1b7ab-383a-4d03-9652-172b2b55edb6;МБОУ СОШ №4 с углубленным изучением отдельных предметов им. Г. К. Жукова г. о. Краснознаменска;г. Краснознаменск;;https://uchi.ru/schools/pages/17a1b7ab-383a-4d03-9652-172b2b55edb6
f91bafab-5e78-4af1-acc8-9dffde1faad5;МОУ СОШ № 33 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/f91bafab-5e78-4af1-acc8-9dffde1faad5
06a7eade-d598-4597-9bd8-43d97544f6bb;МОУ Дедовская СОШ №1;г. Дедовск;;https://uchi.ru/schools/pages/06a7eade-d598-4597-9bd8-43d97544f6bb
d9ce9d40-71a2-4a66-bfb0-7f6456b829cd;МБОУ СОШ №27;г. Мытищи;;https://uchi.ru/schools/pages/d9ce9d40-71a2-4a66-bfb0-7f6456b829cd
40141fdc-eb67-48d9-a556-faeac6a0d862;МАОУ Домодедовская СОШ № 2 им. М. Д. Глазова;г. Домодедово;;https://uchi.ru/schools/pages/40141fdc-eb67-48d9-a556-faeac6a0d862
f1cb5118-140d-48c7-91fa-02f7bce1d5dc;МОУ СОШ №8 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/f1cb5118-140d-48c7-91fa-02f7bce1d5dc
55976be8-ada3-4c19-a275-56e8b424ba46;МОУ СОШ № 27 муниципального образования городской округ Люберцы Московской области;г. Люберцы;;https://uchi.ru/schools/pages/55976be8-ada3-4c19-a275-56e8b424ba46
ccf1e387-3b8b-48fb-b949-43cabd6963f8;МБОУ СОШ № 6 им. Сахнова В. И.;г. Лобня;;https://uchi.ru/schools/pages/ccf1e387-3b8b-48fb-b949-43cabd6963f8
ae6453be-cfa1-45aa-ad3b-f39111ee2cc0;МОУ СОШ №51 муниципального образования городской округ Люберцы Московской области;г. Мирный;;https://uchi.ru/schools/pages/ae6453be-cfa1-45aa-ad3b-f39111ee2cc0
7fc1901a-1648-46a4-b69d-62e605806e86;МАОУ Городского округа Балашиха СОШ №33;г. Балашиха;;https://uchi.ru/schools/pages/7fc1901a-1648-46a4-b69d-62e605806e86
e27da18c-a3f8-43f0-9847-8cae85c4297c;МБОУ Центр образования № 62;г. Старая Купавна;;https://uchi.ru/schools/pages/e27da18c-a3f8-43f0-9847-8cae85c4297c
6122dd2e-277d-43ca-9140-4b63a24921a2;МОУ СОШ №9 городского округа Павловский Посад Московской области;г. Павловский Посад;;https://uchi.ru/schools/pages/6122dd2e-277d-43ca-9140-4b63a24921a2
c25c2f86-0235-49b5-80b3-99eed043d946;МОУ – гимназия им. В. Н. Татищева;г. Клин;;https://uchi.ru/schools/pages/c25c2f86-0235-49b5-80b3-99eed043d946
c2e7bcb1-f8fe-46f6-8f88-8f15e34a2ee7;МБОУ Наро-Фоминская СОШ № 6 с углубленным изучением отдельных предметов;г. Наро-Фоминск;;https://uchi.ru/schools/pages/c2e7bcb1-f8fe-46f6-8f88-8f15e34a2ee7
1b0cd03d-7904-42a2-b029-80c636fbcc4a;МБОУ СОШ № 8 им. героя Советского Союза Будника Г. Д.;г. Лобня;;https://uchi.ru/schools/pages/1b0cd03d-7904-42a2-b029-80c636fbcc4a
fcd89693-7b50-43cd-b31f-be67e2b30bd9;МБОУ Голицынская СОШ №2;г. Голицыно;;https://uchi.ru/schools/pages/fcd89693-7b50-43cd-b31f-be67e2b30bd9
2ceda971-8871-4b90-8588-705e579c081d;МОУ СОШ №15 с углубленным изучением отдельных предметов;г. Электросталь;;https://uchi.ru/schools/pages/2ceda971-8871-4b90-8588-705e579c081d
3df3b2aa-3a07-4ffa-877a-0d8a2a5cdec3;МБОУ СОШ №8;г. Мытищи;;https://uchi.ru/schools/pages/3df3b2aa-3a07-4ffa-877a-0d8a2a5cdec3
24329852-6a04-4b33-be0d-66787c737620;МОУ СОШ №11 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/24329852-6a04-4b33-be0d-66787c737620
07426812-42d2-45cd-99ec-b4d3ad2b284a;МОУ Лицей №7;г. Электросталь;;https://uchi.ru/schools/pages/07426812-42d2-45cd-99ec-b4d3ad2b284a
2067298a-a85d-48c9-88d4-b41ea19c9238;МОУ СОШ №4 с углубленным изучением отдельных предметов г. Фрязино Московской области;г. Фрязино;;https://uchi.ru/schools/pages/2067298a-a85d-48c9-88d4-b41ea19c9238
4a2eaa0c-9c43-4a92-a03c-f0e84a261c06;МБОУ Одинцовская СОШ №5;г. Одинцово;;https://uchi.ru/schools/pages/4a2eaa0c-9c43-4a92-a03c-f0e84a261c06
eb1f16e3-9efd-4ee1-9efa-70360f1c0494;МОУ Софьинская СОШ;г. Софьино;;https://uchi.ru/schools/pages/eb1f16e3-9efd-4ee1-9efa-70360f1c0494
73fb598c-8d45-475f-aaae-90bda70cb429;МОУ Лицей №5 г. Подольска;г. Подольск;;https://uchi.ru/schools/pages/73fb598c-8d45-475f-aaae-90bda70cb429
005a2eba-5665-4b64-b486-4a9d6d9d14a6;МАОУ Домодедовская СОШ №9;г. Домодедово;;https://uchi.ru/schools/pages/005a2eba-5665-4b64-b486-4a9d6d9d14a6
8427ea6c-b132-48d1-848d-115f63985f2e;МБОУ – СОШ № 9;г. Жуковский;;https://uchi.ru/schools/pages/8427ea6c-b132-48d1-848d-115f63985f2e
c505a433-4c6e-45c3-8de7-6007f9a209e0;МБОУ СОШ №1 г. Красногорска;г. Красногорск;;https://uchi.ru/schools/pages/c505a433-4c6e-45c3-8de7-6007f9a209e0
2ced8a1d-c49a-45d1-9df1-c32cfff5343f;МБОУ СОШ №4;г. Лобня;;https://uchi.ru/schools/pages/2ced8a1d-c49a-45d1-9df1-c32cfff5343f
d57e684b-8c9a-47f1-98e6-d2e8e47f6742;МОУ Гимназия № 5 муниципального образования городской округ Люберцы Московской области;г. Люберцы;;https://uchi.ru/schools/pages/d57e684b-8c9a-47f1-98e6-d2e8e47f6742
6cd7f744-b900-4017-885f-8b7258077a81;МАОУ городского округа Долгопрудный СОШ №14;г. Долгопрудный;;https://uchi.ru/schools/pages/6cd7f744-b900-4017-885f-8b7258077a81
3c11a7f2-accd-4563-8073-387b71ab2645;МБОУ Лицей № 4;г. Коломна;;https://uchi.ru/schools/pages/3c11a7f2-accd-4563-8073-387b71ab2645
9bedf9bb-5c43-4036-bbde-6b9befe72a4f;МОУ гимназия №18 муниципального образования городского округа Люберцы Московской области;г. Томилино;;https://uchi.ru/schools/pages/9bedf9bb-5c43-4036-bbde-6b9befe72a4f
0a89c151-61bd-465b-9c54-0677cb9abd3c;МБОУ Гимназия № 2 Квантор;г. Коломна;;https://uchi.ru/schools/pages/0a89c151-61bd-465b-9c54-0677cb9abd3c
